"[run number]","r","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"426","4","1.16","300","deterministic","9687","95","1.9865467249607551","16.402722721833715"
"429","4","1.2","300","deterministic","7182","94","5.399895242446776","17.935445020193384"
"427","4","1.16","300","deterministic","9392","1244","2.542794570031365","17.826340015679364"
"430","4","1.2","300","deterministic","7803","87","0.8913468137333815","15.050449533416115"
"431","4","1.2","300","deterministic","8848","113","2.329109544630528","19.665405547582257"
"433","4","1.24","300","deterministic","6984","82","3.5059368293180686","19.33850763209559"
"435","4","1.24","300","deterministic","6192","83","2.3061221170895205","20.469753407192304"
"434","4","1.24","300","deterministic","6806","82","3.5429676677761943","20.65796295311478"
"432","4","1.2","300","deterministic","9596","84","4.1450586443181585","18.268243753862883"
"436","4","1.24","300","deterministic","7595","84","1.0394610510954507","20.602916678727105"
"439","4","1.28","300","deterministic","7352","830","2.5146116501075113","19.378516953997824"
"438","4","1.28","300","deterministic","7405","79","3.4565597578796154","20.115463703568214"
"440","4","1.28","300","deterministic","7727","84","1.5626553668344272","18.238960818342488"
"437","4","1.28","300","deterministic","9239","995","3.3743817449987787","19.701674109505117"
"442","4","1.32","300","deterministic","6585","78","2.548960113505439","19.60820146055988"
"441","4","1.32","300","deterministic","7491","85","3.089938831870466","21.13768718870471"
"443","4","1.32","300","deterministic","5856","97","1.814833961107638","20.166782129623915"
"445","4","1.36","300","deterministic","5825","76","4.593857580159224","19.991430334311485"
"444","4","1.32","300","deterministic","6798","77","4.545734980796638","20.821980150580305"
"446","4","1.36","300","deterministic","6716","77","2.5470789386186006","18.566947587488592"
"448","4","1.36","300","deterministic","7320","83","1.9223288948290111","22.359416744985484"
"449","4","1.4","300","deterministic","5070","73","4.256781796260672","24.73461223002529"
"447","4","1.36","300","deterministic","7506","86","1.5027589323985904","20.908009583498135"
"451","4","1.4","300","deterministic","5065","72","3.745743972059625","21.438529192211853"
"450","4","1.4","300","deterministic","5832","72","1.6821306987091358","21.00973095624165"
"452","4","1.4","300","deterministic","6052","89","1.64831447885088","21.72597696781055"
"453","4","1.44","300","deterministic","6242","76","1.450164946757896","21.950375519750988"
"454","4","1.44","300","deterministic","6005","70","2.1870903315477044","21.203255700057593"
"457","4","1.48","300","deterministic","5173","758","2.9017169339505386","22.55597805179254"
"456","4","1.44","300","deterministic","5369","70","5.278744270069172","22.122735149743697"
"455","4","1.44","300","deterministic","7148","761","3.3408737941238016","21.764282065585476"
"458","4","1.48","300","deterministic","6204","76","3.8210615321604564","22.047177014599637"
"460","4","1.48","300","deterministic","5343","745","3.0155368597583205","22.029296428675895"
"461","4","1.52","300","deterministic","4842","91","1.6881284048509428","22.652292487497707"
"462","4","1.52","300","deterministic","4936","67","3.382716632213059","22.046881554514414"
"459","4","1.48","300","deterministic","6143","70","1.503254010822804","21.11138416589413"
"463","4","1.52","300","deterministic","5990","68","1.2328276293505045","22.854501137529013"
"464","4","1.52","300","deterministic","5307","69","4.43656318646997","24.124937842110953"
"467","4","1.56","300","deterministic","4689","73","2.8349932248170493","22.407646936020235"
"468","4","1.56","300","deterministic","4864","73","4.627932732824872","24.223518496001322"
"466","4","1.56","300","deterministic","5106","66","2.507312204923293","22.998026266804352"
"465","4","1.56","300","deterministic","5813","67","1.7654340900481262","21.55015680157139"
"469","4","1.6","300","deterministic","4659","64","3.2239204429844435","23.44543501789341"
"470","4","1.6","300","deterministic","4874","68","2.7560972659106255","22.353766649415434"
"473","4","1.64","300","deterministic","4807","62","4.361376166576539","26.49831928695374"
"474","4","1.64","300","deterministic","4439","63","3.596734678587275","24.807142441604086"
